Longitud;Latitud;Sitio;Fecha;Contacto;Modelos;Comentarios;Cliente;Fotos
-35.027.276;-63.008.665;POI Villegas;1/2/2023;Marcos Magallanes;CRN90-2-2 AFGE HQQE;No tienen repuestos;ABSA S.A;
-34.856.572;-61.522.838;PT Lincoln;2/2/2023;Marcos Magallanes;Flygt 3201;Se repararon en 2022 por inundación;ABSA S.A;Bomba_Flygt_Absa.png
